#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.33083673,31.17304072,2010 May 08 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"1,999",Community Management,"Functional, needs repair",622.0,300.0,False,,KIKUUBE
1.1530995,30.7524994,2022 Mar 10 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,016",Community Management,Functional,2081.0,300.0,False,,KIKUUBE
1.3970136,31.1074117,2022 Mar 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,021",,Functional,980.0,300.0,False,,KIKUUBE
1.3761843,31.2635798,2022 Mar 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,011",,Functional,830.0,250.0,False,,KIKUUBE
1.1842479,30.7821484,2022 Mar 06 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,019",Community Management,Functional,3247.0,300.0,False,,KIKUUBE
1.24263436,30.94048106,2010 May 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,004",Community Management,"Functional, needs repair",1076.0,300.0,False,,KIKUUBE
1.2926211,31.34113875,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"1,996",Community Management,"Functional, needs repair",880.0,300.0,False,,KIKUUBE
1.1666209,30.7983519,2022 Mar 13 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,020",,Functional,5976.0,250.0,False,,KIKUUBE
1.3040999,31.2874285,2022 Mar 04 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,021",Community Management,Functional,772.0,250.0,False,,KIKUUBE
1.285088,31.0892388,2022 Mar 11 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,019",Community Management,Functional,827.0,300.0,False,,KIKUUBE
1.3390363,31.3349372,2022 Mar 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,000",,Functional,533.0,300.0,False,,KIKUUBE
1.2294579,30.8111394,2022 Mar 03 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,011",Community Management,Functional,1209.0,300.0,False,,KIKUUBE
1.17642401,31.01452394,2010 May 17 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,007",Community Management,"Functional, needs repair",1035.0,300.0,False,,KIKUUBE
1.3052955,31.1720146,2022 Mar 12 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,"1,995",Community Management,Functional,1207.0,250.0,False,,KIKUUBE
