#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.27686137,31.35979324,2010 May 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,002",Community Management,Non-Functional,791.0,300.0,False,,KIKUUBE
1.2153348,30.79932393,2010 May 05 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"1,992",Other Institutional Management,Non-Functional,1363.0,50.0,False,,KIKUUBE
1.1636121,30.7939037,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,5929.0,300.0,False,,KIKUUBE
1.3784762,30.9862056,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,"2,017",Community Management,Non-Functional,2268.0,300.0,False,,KIKUUBE
1.1604058,30.8017325,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,018",,Non-Functional,6562.0,300.0,False,,KIKUUBE
1.2702475,31.3111781,2022 Mar 03 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,007",,Non-Functional,717.0,300.0,False,,KIKUUBE
1.3821968,31.1225665,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,022",,Non-Functional,1506.0,300.0,False,,KIKUUBE
1.2955761,31.3244607,2022 Mar 01 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,016",Community Management,Non-Functional,635.0,300.0,False,,KIKUUBE
1.1789576,30.7931987,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,019",,Non-Functional,3637.0,300.0,False,,KIKUUBE
1.3839775,31.1240063,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,021",,Non-Functional,1461.0,300.0,False,,KIKUUBE
1.3256688,31.3126683,2022 Mar 14 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,010",Community Management,Non-Functional,1047.0,300.0,False,,KIKUUBE
1.3243806,31.2831773,2022 Mar 07 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,"2,003",Community Management,Non-Functional,789.0,250.0,False,,KIKUUBE
1.1687483,30.7969517,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",Community Management,Non-Functional,5985.0,300.0,False,,KIKUUBE
1.2283763,30.7296532,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Non-Functional,1088.0,300.0,False,,KIKUUBE
1.2858399,31.279577,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,019",,Non-Functional,711.0,300.0,False,,KIKUUBE
1.26018426,31.16978512,2010 May 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,006",Community Management,Non-Functional,974.0,300.0,False,,KIKUUBE
1.3284721,31.2040764,2022 Mar 03 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",,Non-Functional,1995.0,300.0,False,,KIKUUBE
1.33505596,31.35893783,2010 May 07 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,"2,009",Community Management,Non-Functional,599.0,300.0,False,,KIKUUBE
1.1580882,30.8016019,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,022",Community Management,Non-Functional,6633.0,300.0,False,,KIKUUBE
1.1877864,30.7778425,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,021",Community Management,Non-Functional,3028.0,300.0,False,,KIKUUBE
1.1728144,30.7985788,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,021",,Non-Functional,4749.0,300.0,False,,KIKUUBE
1.1651256,30.8022995,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,019",,Non-Functional,5775.0,300.0,False,,KIKUUBE
1.1993283,30.7704748,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,022",Community Management,Functional,913.0,300.0,False,,KIKUUBE
1.3831622,31.1184474,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,022",,Non-Functional,1348.0,300.0,False,,KIKUUBE
